match_id,competition_id,session_id,game_id,group_id,sheet,end_id,hammer_team_id,nonhammer_team_id,score_hammer,score_nonhammer,score_diff,conceded_end,cumulative_score_hammer,cumulative_score_nonhammer,cumulative_score_diff,scoring_team_id,scoring_team_role,powerplay_team_id,powerplay_value,powerplay_by_hammer,blank_end,hammer_noc,hammer_name,nonhammer_noc,nonhammer_name,hammer_task_neg1,hammer_task_0,hammer_task_1,hammer_task_2,hammer_task_3,hammer_task_4,hammer_task_5,hammer_task_6,hammer_task_7,hammer_task_8,hammer_task_9,hammer_task_10,hammer_task_11,hammer_total_shots,nonhammer_task_neg1,nonhammer_task_0,nonhammer_task_1,nonhammer_task_2,nonhammer_task_3,nonhammer_task_4,nonhammer_task_5,nonhammer_task_6,nonhammer_task_7,nonhammer_task_8,nonhammer_task_9,nonhammer_task_10,nonhammer_task_11,nonhammer_total_shots
0_10_1,0,10,1,0,A,1,22,20,0.0,1.0,-1.0,False,0.0,0.0,0.0,20.0,nonhammer,,,False,False,CZE,Czech Republic,USA,United States of America,0,2,0,0,1,0,0,0,0,0,2,0,0,5,0,3,0,2,0,0,0,0,0,0,0,0,0,5
0_10_1,0,10,1,0,A,2,22,20,3.0,0.0,3.0,False,0.0,1.0,-1.0,22.0,hammer,,,False,False,CZE,Czech Republic,USA,United States of America,0,2,0,0,1,0,0,0,0,1,1,0,0,5,0,3,0,0,0,0,1,0,0,0,0,1,0,5
0_10_1,0,10,1,0,A,3,20,22,3.0,0.0,3.0,False,3.0,1.0,2.0,20.0,hammer,,,False,False,USA,United States of America,CZE,Czech Republic,0,3,0,0,0,0,0,0,0,0,1,1,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,5
0_10_1,0,10,1,0,A,4,22,20,4.0,0.0,4.0,False,6.0,1.0,5.0,22.0,hammer,,,False,False,CZE,Czech Republic,USA,United States of America,0,2,0,0,0,0,0,0,0,0,3,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,5
0_10_1,0,10,1,0,A,5,20,22,3.0,0.0,3.0,False,10.0,1.0,9.0,20.0,hammer,,,False,False,USA,United States of America,CZE,Czech Republic,0,5,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,0,0,2,0,0,5
0_10_1,0,10,1,0,A,6,22,20,0.0,0.0,0.0,False,13.0,1.0,12.0,,,22.0,2.0,True,True,CZE,Czech Republic,USA,United States of America,0,3,0,0,0,0,0,1,0,1,0,0,0,5,0,2,0,0,0,0,0,1,0,1,1,0,0,5
0_10_1,0,10,1,0,A,7,22,20,0.0,1.0,-1.0,False,13.0,1.0,12.0,20.0,nonhammer,20.0,2.0,False,False,CZE,Czech Republic,USA,United States of America,0,2,0,0,0,0,0,1,0,0,1,1,0,5,0,2,0,0,0,0,0,3,0,0,0,0,0,5
0_10_1,0,10,1,0,A,8,22,20,3.0,0.0,3.0,False,13.0,2.0,11.0,22.0,hammer,,,False,False,CZE,Czech Republic,USA,United States of America,0,3,0,0,0,0,0,2,0,0,0,0,0,5,0,4,0,0,0,0,0,0,0,0,1,0,0,5
0_10_2,0,10,2,0,B,1,43,27,0.0,1.0,-1.0,False,0.0,0.0,0.0,27.0,nonhammer,,,False,False,CHN,People's Republic of China,GBR,Great Britain,0,2,0,0,1,0,0,0,0,1,0,0,1,5,0,2,0,3,0,0,0,0,0,0,0,0,0,5
0_10_2,0,10,2,0,B,2,43,27,2.0,0.0,2.0,False,0.0,1.0,-1.0,43.0,hammer,,,False,False,CHN,People's Republic of China,GBR,Great Britain,0,2,0,0,1,0,0,0,0,0,1,1,0,5,0,4,0,1,0,0,0,0,0,0,0,0,0,5
